X,Y,1StationTe,LocalEasti,LocalNorth,LocalHeigh,Descriptor,StationTex,WGS84Latit,WGS84Longi,Field9,Field10,Field11,Track,Feature,icon_url
146.378086739053,-8.07439389772064,GPS_6E-A,431358.263,9107259.862,84.292,GPS1,GPS_6E-A,-8.074,146.378,,,,6.000,,./0.png
146.378160382747,-8.07401676622609,GPS_6E-B,431366.314,9107301.570,74.583,GPS1,GPS_6E-B,-8.074,146.378,,,,6.000,,./0.png
146.392630644721,-8.06837747516304,GPS_6F-A,432959.815,9107927.448,84.920,GPS1,GPS_6F-A,-8.068,146.393,,,,6.000,,./0.png
146.392445879102,-8.0684806664859,GPS_6F-B,432939.473,9107916.009,81.537,GPS1,GPS_6F-B,-8.069,146.392,,,,6.000,,./0.png
146.403731480162,-8.06616600068176,GPS_6G-A,434182.635,9108173.750,83.220,GPS1,GPS_6G-A,-8.066,146.404,,,,6.000,,./0.png
146.403710330583,-8.06649031572756,GPS_6G-B,434180.357,9108137.890,85.527,GPS1,GPS_6G-B,-8.067,146.404,,,,6.000,,./0.png
146.416486113125,-8.06145606792258,GPS_6H-A,435587.301,9108696.505,104.681,GPS1,GPS_6H-A,-8.061,146.417,,,,6.000,,./0.png
146.416331727984,-8.06164452822694,GPS_6H-B,435570.319,9108675.644,104.520,GPS1,GPS_6H-B,-8.062,146.416,,,,6.000,,./0.png
146.457193717692,-8.05131127299851,GPS_6K-A,440071.343,9109824.276,123.197,GPS1,GPS_6K-A,-8.051,146.457,,,,6.000,,./0.png
146.4569952605,-8.05144978359158,GPS_6K-B,440049.495,9109808.933,126.218,GPS1,GPS_6K-B,-8.051,146.457,,,,6.000,,./0.png
146.48321448571,-8.04310979645325,GPS_6L-A,442937.456,9110734.724,30.773,GPS1,GPS_6L-A,-8.043,146.483,,,,6.000,,./0.png
146.483109922222,-8.04296186673666,GPS_6L-B,442925.913,9110751.064,30.580,GPS1,GPS_6L-B,-8.043,146.483,,,,6.000,,./0.png
146.499376642015,-8.03670139777715,GPS_6M-A,444717.547,9111445.431,32.055,GPS1,GPS_6M-A,-8.037,146.499,,,,6.000,,./0.png
146.499162912647,-8.03681146407717,GPS_6M-B,444694.010,9111433.233,31.524,GPS1,GPS_6M-B,-8.037,146.499,,,,6.000,,./0.png
146.512039470426,-8.03499719530546,GPS_6N-A,446112.697,9111635.526,33.942,GPS1,GPS_6N-A,-8.035,146.512,,,,6.000,,./0.png
146.51220231955,-8.03494412876469,GPS_6N-B,446130.635,9111641.414,33.814,GPS1,GPS_6N-B,-8.035,146.512,,,,6.000,,./0.png
146.142777166906,-8.0571526073602,PSM33985,405425.660,9109119.127,30.192,GPS1,PSM33985,-8.057,146.143,,,,0.000,,./0.png
