X,Y,Type,Station,Line,Point,RecoverySP,DateDrille,DrillTeam,DateLoaded,Loader,DrilledDep,TopofCharg,GalvoTest1,GalvoTest2,Units1kg,DetsUsed10,TopAnch,EndCaps,Litologie,Comment1,Comment2,km,TypeofDril,icon_url
146.405295717283,-7.89788604304081,S,409986.500000000000000,"4",9986.500000000000000,,2022/09/12,"3",2022/09/12,James Steven,"7",6.000000000000000,7.600000000000000,7.400000000000000,"2","2","1","1","Clay, Sand Stone",,,0.090000000000000,Air,./0.png
146.404936283182,-7.89715512798019,S,410004.500000000000000,"4",10004.500000000000000,,2022/09/12,"3",2022/09/12,James Steven,"7",6.000000000000000,7.500000000000000,7.500000000000000,"2","2","1","1","Clay, Sand Stone",,,0.090000000000000,Air,./0.png
146.404576850285,-7.89642420363452,S,410022.500000000000000,"4",10022.500000000000000,,2022/09/12,"3",2022/09/12,James Steven,"7",6.000000000000000,7.500000000000000,7.500000000000000,"2","2","1","1","Clay, Sand Stone",,,0.090000000000000,Air,./0.png
146.404217418566,-7.89569328809391,S,410040.500000000000000,"4",10040.500000000000000,,2022/09/12,"3",2022/09/12,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Sand Stone",,,0.090000000000000,Air,./0.png
146.403857988051,-7.89496236326845,S,410058.500000000000000,"4",10058.500000000000000,,2022/09/12,"3",2022/09/12,James Steven,"7",6.000000000000000,7.300000000000000,7.400000000000000,"2","2","1","1","Clay, Sand Stone",,,0.090000000000000,Air,./0.png
146.403498558713,-7.89423144724823,S,410076.500000000000000,"4",10076.500000000000000,,2022/09/10,"3",2022/09/10,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Clay, Hard Mudstone",,,0.090000000000000,Air,./0.png
146.403139130578,-7.89350052194335,S,410094.500000000000000,"4",10094.500000000000000,,2022/09/10,"3",2022/09/10,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Clay, Hard Mudstone",,,0.090000000000000,Air,./0.png
146.402779703621,-7.89276960544388,S,410112.500000000000000,"4",10112.500000000000000,410107.500000000000000,2022/09/10,"3",2022/09/10,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Hard Mudstone",Cliff,,0.090000000000000,Air,./0.png
146.402420277867,-7.89203867965991,S,410130.500000000000000,"4",10130.500000000000000,,2022/09/10,"3",2022/09/10,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1","Clay, Hard Mudstone",,,0.090000000000000,Air,./0.png
146.402060853289,-7.89130776268155,S,410148.500000000000000,"4",10148.500000000000000,410144.500000000000000,2022/09/10,"3",2022/09/10,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Hard Mudstone",Creek,,0.090000000000000,Air,./0.png
146.401701429914,-7.89057683641888,S,410166.500000000000000,"4",10166.500000000000000,,2022/09/09,"3",2022/09/09,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1","Clay, Gravel",,,0.090000000000000,Air,./0.png
146.401342007716,-7.88984591896197,S,410184.500000000000000,"4",10184.500000000000000,,2022/09/09,"3",2022/09/09,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Gravel",,,0.090000000000000,Air,./0.png
146.400982586719,-7.88911499222093,S,410202.500000000000000,"4",10202.500000000000000,,2022/09/08,"3",2022/09/08,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Mudstone",,,0.090000000000000,Air,./0.png
146.400623166913,-7.88838406524083,S,410220.500000000000000,"4",10220.500000000000000,,2022/09/08,"3",2022/09/08,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1","Clay, Mudstone",,,0.090000000000000,Air,./0.png
146.400263748282,-7.88765314706678,S,410238.500000000000000,"4",10238.500000000000000,,2022/09/08,"3",2022/09/08,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay, Mudstone",,,0.090000000000000,Air,./0.png
146.399904330853,-7.88692221960888,S,410256.500000000000000,"4",10256.500000000000000,,2022/09/07,"3",2022/09/07,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Clay, Mudstone",,,0.090000000000000,Air,./0.png
146.600284188167,-7.93871367606108,S,507694.500000000000000,"5",7694.500000000000000,,2022/10/16,"3",2022/10/16,James Steven,"7",6.000000000000000,7.200000000000000,7.300000000000000,"2","2","1","1","Mud Stone, Clay Gravel",,,0.090000000000000,Water,./0.png
146.60109318118,-7.93860322292756,S,507712.500000000000000,"5",7712.500000000000000,507715.500000000000000,2022/10/16,"3",2022/10/16,James Steven,"7",6.000000000000000,7.100000000000000,7.200000000000000,"2","2","1","1","Mud Stone, Clay Gravel",Gravel,,0.090000000000000,Water,./0.png
146.601902182912,-7.93849276820751,S,507730.500000000000000,"5",7730.500000000000000,,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.400000000000000,7.400000000000000,"2","2","1","1","Clay Sand, Stone",,,0.090000000000000,Water,./0.png
146.602711184288,-7.93838231189229,S,507748.500000000000000,"5",7748.500000000000000,507747.500000000000000,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.200000000000000,7.200000000000000,"2","2","1","1","Clay Sand, Stone",Survey,,0.090000000000000,Water,./0.png
146.603520185309,-7.93827185398198,S,507766.500000000000000,"5",7766.500000000000000,507753.500000000000000,2022/10/16,"3",2022/10/16,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Mud Stone, Clay Gravel",Gravel,,0.090000000000000,Water,./0.png
146.604329185974,-7.93816139447664,S,507784.500000000000000,"5",7784.500000000000000,507788.500000000000000,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.500000000000000,7.600000000000000,"2","2","1","1","Clay Sand, Stone",Large Stone,,0.090000000000000,Water,./0.png
146.605138186291,-7.93805092433105,S,507802.500000000000000,"5",7802.500000000000000,,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.600000000000000,7.300000000000000,"2","2","1","1","Clay Sand, Stone",,,0.090000000000000,Water,./0.png
146.605947186245,-7.93794046163582,S,507820.500000000000000,"5",7820.500000000000000,507822.500000000000000,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.300000000000000,7.500000000000000,"2","2","1","1","Clay Sand, Stone",Creek,,0.090000000000000,Water,./0.png
146.606756185842,-7.93782999734574,S,507838.500000000000000,"5",7838.500000000000000,507837.500000000000000,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.400000000000000,7.200000000000000,"2","2","1","1","Clay Sand, Stone",Survey,,0.090000000000000,Water,./0.png
146.607565185083,-7.9377195314609,S,507856.500000000000000,"5",7856.500000000000000,,2022/10/14,"3",2022/10/14,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1","Clay Sand, Stone",,,0.090000000000000,Water,./0.png
146.608374183968,-7.93760906398135,S,507874.500000000000000,"5",7874.500000000000000,507875.500000000000000,2022/10/13,"3",2022/10/13,James Steven,"7",6.000000000000000,7.500000000000000,7.600000000000000,"2","2","1","1","Clay Sand, Stone",,,0.090000000000000,Water,./0.png
146.609183182496,-7.93749859490716,S,507892.500000000000000,"5",7892.500000000000000,507894.500000000000000,2022/10/13,"3",2022/10/13,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1",Clay Sand,Slide Area,,0.090000000000000,Water,./0.png
146.609992180667,-7.93738812423841,S,507910.500000000000000,"5",7910.500000000000000,507909.500000000000000,2022/10/13,"3",2022/10/13,James Steven,"7",6.000000000000000,7.500000000000000,7.600000000000000,"2","2","1","1",Clay Sand,Survey,,0.090000000000000,Water,./0.png
146.610801178481,-7.93727765197513,S,507928.500000000000000,"5",7928.500000000000000,,2022/10/13,"3",2022/10/13,James Steven,"7",6.000000000000000,7.200000000000000,7.300000000000000,"2","2","1","1",Clay Sand,,,0.090000000000000,Air,./0.png
146.611610175939,-7.93716717811741,S,507946.500000000000000,"5",7946.500000000000000,507945.500000000000000,2022/10/13,"3",2022/10/13,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1",Clay Sand,Survey,,0.090000000000000,Air,./0.png
146.612419173048,-7.93705669362005,S,507964.500000000000000,"5",7964.500000000000000,,2022/10/12,"3",2022/10/12,James Steven,"7",6.000000000000000,7.300000000000000,7.200000000000000,"2","2","1","1",Clay Stone,,,0.090000000000000,Air,./0.png
146.613228160718,-7.93694621656521,S,507982.500000000000000,"5",7982.500000000000000,507980.500000000000000,2022/10/12,"3",2022/10/12,James Steven,"7",6.000000000000000,7.900000000000000,7.800000000000000,"2","2","1","1",Clay Stone,Survey,,0.090000000000000,Air,./0.png
146.614037157103,-7.93683573792459,S,508000.500000000000000,"5",8000.500000000000000,507999.500000000000000,2022/10/12,"3",2022/10/12,James Steven,"7",6.000000000000000,7.200000000000000,7.600000000000000,"2","2","1","1",Clay Stone,Steep,,0.090000000000000,Water,./0.png
146.614846153131,-7.93672525768978,S,508018.500000000000000,"5",8018.500000000000000,508021.500000000000000,2022/10/12,"3",2022/10/12,James Steven,"7",6.000000000000000,7.300000000000000,7.500000000000000,"2","2","1","1",Clay Stone,Survey,,0.090000000000000,Water,./0.png
146.615655148801,-7.93661477586088,S,508036.500000000000000,"5",8036.500000000000000,508038.500000000000000,2022/10/12,"3",2022/10/12,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1",Clay Stone,Survey,,0.090000000000000,Water,./0.png
146.616464144113,-7.93650429243792,S,508054.500000000000000,"5",8054.500000000000000,508055.500000000000000,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.400000000000000,7.800000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Water,./0.png
146.617273139067,-7.93639380742098,S,508072.500000000000000,"5",8072.500000000000000,508073.500000000000000,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Water,./0.png
146.618082133662,-7.93628332081013,S,508090.500000000000000,"5",8090.500000000000000,,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",River Stone,,,0.090000000000000,Water,./0.png
146.618891127908,-7.93617282356016,S,508108.500000000000000,"5",8108.500000000000000,,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.300000000000000,7.400000000000000,"2","2","1","1",River Stone,,,0.090000000000000,Water,./0.png
146.619700121786,-7.93606233376167,S,508126.500000000000000,"5",8126.500000000000000,,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.500000000000000,7.700000000000000,"2","2","1","1",River Stone,,,0.090000000000000,Air,./0.png
146.620509115306,-7.93595184236948,S,508144.500000000000000,"5",8144.500000000000000,508147.500000000000000,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.600000000000000,7.500000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Air,./0.png
146.621318108467,-7.93584134938366,S,508162.500000000000000,"5",8162.500000000000000,508163.500000000000000,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.300000000000000,7.400000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Air,./0.png
146.622127101269,-7.93573085480424,S,508180.500000000000000,"5",8180.500000000000000,508186.500000000000000,2022/10/10,"3",2022/10/10,James Steven,"7",6.000000000000000,7.400000000000000,7.500000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Air,./0.png
146.622936093712,-7.9356203586313,S,508198.500000000000000,"5",8198.500000000000000,,2022/10/10,"3",2022/10/10,James Steven,"7",6.000000000000000,7.300000000000000,7.400000000000000,"2","2","1","1",River Stone,,,0.090000000000000,Air,./0.png
146.623745085795,-7.93550986086492,S,508216.500000000000000,"5",8216.500000000000000,508215.500000000000000,2022/10/09,"3",2022/10/09,James Steven,"7",6.000000000000000,7.500000000000000,7.400000000000000,"2","2","1","1",River Stone and Sand,River Stone,,0.090000000000000,Air,./0.png
146.624554077519,-7.93539936150514,S,508234.500000000000000,"5",8234.500000000000000,508233.500000000000000,2022/10/09,"3",2022/10/09,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1",River Stone and Sand,River Stone,,0.090000000000000,Air,./0.png
146.625363068883,-7.93528886055206,S,508252.500000000000000,"5",8252.500000000000000,508271.500000000000000,2022/10/11,"3",2022/10/11,James Steven,"7",6.000000000000000,7.400000000000000,7.300000000000000,"2","2","1","1",River Stone,River Stone,,0.090000000000000,Air,./0.png
