X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
445711.428767274,9096650.90153412,403530,445711.429,9096650.902,379.049,S,,,,,,,,,./0.png
445710.861920527,9096681.15490131,403536,445710.862,9096681.155,379.017,S,,,,,,,,,./0.png
445704.649974273,9096710.46377347,403542,445704.650,9096710.464,371.039,S,,,,,,,,,./0.png
445698.585841884,9096739.98906264,403548,445698.586,9096739.989,360.154,S,,,,,,,,,./0.png
445686.883813619,9096768.14845696,403554,445686.884,9096768.148,364.984,S,,,,,,,,,./0.png
445678.660300412,9096797.12957215,403560,445678.660,9096797.130,372.277,S,,,,,,,,,./0.png
445669.771724258,9096826.08959767,403566,445669.772,9096826.090,374.311,S,,,,,,,,,./0.png
445661.409307191,9096854.80382343,403572,445661.409,9096854.804,383.575,S,,,,,,,,,./0.png
445655.378522275,9096884.44581765,403578,445655.379,9096884.446,394.211,S,,,,,,,,,./0.png
445648.237158994,9096913.36302662,403584,445648.237,9096913.363,394.247,S,,,,,,,,,./0.png
445641.767654296,9096942.68496702,403590,445641.768,9096942.685,391.831,S,,,,,,,,,./0.png
445639.441455811,9096973.03373589,403596,445639.441,9096973.034,385.068,S,,,,,,,,,./0.png
445635.123003972,9097002.56962602,403602,445635.123,9097002.570,386.569,S,,,,,,,,,./0.png
445627.610560795,9097031.57348299,403608,445627.611,9097031.573,382.787,S,,,,,,,,,./0.png
445620.684600573,9097060.73446154,403614,445620.685,9097060.734,370.381,S,,,,,,,,,./0.png
445616.867288585,9097090.72333354,403620,445616.867,9097090.723,358.675,S,,,,,,,,,./0.png
445610.840947039,9097120.251133,403626,445610.841,9097120.251,358.508,S,,,,,,,,,./0.png
445605.415268832,9097149.79954319,403632,445605.415,9097149.800,360.664,S,,,,,,,,,./0.png
445597.277873814,9097178.58575004,403638,445597.278,9097178.586,349.108,S,,,,,,,,,./0.png
445583.211563523,9097206.54831987,403644,445583.212,9097206.548,348.347,S,,,,,,,,,./0.png
445590.759142527,9097238.69372393,403650,445590.759,9097238.694,345.483,S,,,,,,,,,./0.png
445587.350741284,9097268.35279983,403656,445587.351,9097268.353,347.429,S,,,,,,,,,./0.png
